nombre_autor,titulo_libro,id_libro
Autor Desconocido,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,2
Autor Desconocido,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",76
Autor Desconocido,"Codename Baboushka, Volume 1: The Conclave of Death",88
Autor Desconocido,The Metamorphosis,146
Autor Desconocido,"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",169
Autor Desconocido,A Man Called Ove,251
Autor Desconocido,The Literature Book (Big Ideas Simply Explained),355
Autor Desconocido,Are We Smart Enough to Know How Smart Animals Are?,429
Autor Desconocido,The Tumor,435
Autor Desconocido,Forever Rockers (The Rocker #12),450
Autor Desconocido,A World of Flavor: Your Gluten Free Passport,461
Autor Desconocido,Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),475
Autor Desconocido,Large Print Heart of the Pride,476
Autor Desconocido,Eureka Trivia 6.0,479
Autor Desconocido,"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",495
Autor Desconocido,Greek Mythic History,498
Autor Desconocido,"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",518
Autor Desconocido,Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,540
Autor Desconocido,Having the Barbarian's Baby (Ice Planet Barbarians #7.5),618
Autor Desconocido,The Torch Is Passed: A Harding Family Story,624
Autor Desconocido,"Shobu Samurai, Project Aryoku (#3)",629
Autor Desconocido,A Shard of Ice (The Black Symphony Saga #1),709
Autor Desconocido,The Demonists (Demonist #1),717
Autor Desconocido,Out of Print: City Lights Spotlight No. 14,824
Autor Desconocido,Toddlers Are A**holes: It's Not Your Fault,864
Autor Desconocido,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,910
Autor Desconocido,Better Homes and Gardens New Cook Book,927
